phrase,category,source,source_type,full_source
"Усе дарогі бясконцыя, апрача той, якая вядзе на могілкі.",Максім Танк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Гісторыя нагадвае склад запасных частак, зь якога кожны цягне патрэбную для сябе дэталь.",Максім Танк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Самая большая памылка Бога, што ён стварыў чалавека, які стаў і яго забойцам...",Максім Танк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Ня вер, калі праклінаюць цябе званамі ўсіх званіц. Яны скрыта моляцца, цалуючы цябе.",Максім Танк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Я такіх паэтаў не страчаў, якія маглі б напісаць лепш, але напісалі горш.",Максім Танк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Нішто так не вядзе каралеўства да хуткага заняпаду і зьнішчэньня, як наступ на веру.",Мялеці Сматрыцкі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Гасподзь схіляецца да ўсіх, ды ніцых духам Ён ня чуе.",Ніна Мацяш,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Шануй чужое аж да пакланеньня, сваё любі да самазабыцьця.",Пятро Бітэль,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Статуты патрэбныя кожнай дзяржаве, як вочы целу.",Пётр Скарга,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Бяздушная еднасьць горш за духоўнае разьеднаньне.,Пётра Сяўрук,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Без чалавечнасьці ня будзе й вечнасьці.,Пімен Панчанка,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Паэт – ён гарыць, як балючы гузак на лобе абражанага народу.",Рыгор Барадулін,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Сорам у спадчыну не пераходзіць.,Рыгор Барадулін,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"І датуль чалавек жывы, покуль зь ім душа размаўляе.",Рыгор Барадулін,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Адчуваю сябе лепш, чым было, але горш, чым хацелася б.",Рыгор Барадулін,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Жыцьцё дзівоснае, калі да ўсяго ставісься як да тайны.",Сьвятлана Алексіевіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Яшчэ нікому не ўдавалася закратаваць вакно памяці.,Уладзімер Арлоў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Я ведаю людзей, якія задыхнуліся ад вострага недахопу свабоды.",Уладзімер Арлоў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Вёрстаў кіямі ня зьлічыш.,Уладзімер Дудзіцкі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Кожны чалавек носіць сваё неба з сабой.,Уладзімер Караткевіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Вечна тваім застанецца толькі тое, што ты аддаў.",Уладзімер Караткевіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Дзеці – усьмешка Божая.,Уладзімер Караткевіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
У савана няма кішэняў.,Уладзімер Караткевіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Горай ня будзе, бо лепш не было.",Уладзімер Някляеў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Страта любові да сваёй краіны – самае страшнае з усяго, што ў нас адбылося. Страшней за самы страшны крызіс. Дэвальвацыя рубля нішто ў параўнаньні з дэвальвацыяй любові.",Уладзімер Някляеў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Як ад нараджэньня зьвяры, што ходзяць у пустыні, ведаюць ямы свае; птушкі, што лётаюць у паветры, ведаюць гнёзды свае; рыбы, што плаваюць па моры і ў рэках, чуюць віры свае; пчолы і тым падобныя бароняць вульлі свае, – так і людзі, дзе нарадзіліся і ўскормлены, да таго месца вялікую ласку маюць.",Францішак Скарына,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Чалавек — гэта правіла, якое складаецца з адных выключэньняў.",Фёдар Яфімаў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Менавіта супраціў націску нараджае пачуцьцё свабоды.,Юры Дракахруст,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Не цьвярдзі таго, за што ты ня можаш прысягнуць у імя чысьціні свайго сумленьня.",Язэп Драздовіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"І фанатыкі, і бязбожнікі, — адной маткі дзеці — крайнасьці... Няма жыцьця ў крайнасьці... Нішто не жывець, не расьцець у вагні, нішто не жывець, не расьцець у марозе. Толькі між агнём і марозам усё расьцець, усё цьвіцець, разьвіваецца, красуецца.",Язэп Драздовіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Хоць, праўда, хлеб ядуць і з вуды, але не ўсе і не заўсюды.",Якуб Колас,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"У істоце кожнага страху ляжыць наша няведаньне, наша цемната.",Якуб Колас,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Сьмерць кожны дзень ходзіць вакол, кожную хвіліну нішчыць і маладзенькія, і старыя формы жыцьця, і мы не зварачаем на гэта ўвагі, і толькі тады яна робіць моцнае ўражаньне, калі ўмірае хто блізкі або калі наваліцца мор і людзі пачынаюць уміраць агулам – тады чалавека ахоплівае жах і ён губляе галаву. І вось што цікава. Калі парушаюцца драбязговыя правы, то чалавек гатоў грызьціся за гэта і кусацца зубамі; там жа, дзе разьбіваецца сама аснова, прынцып, ён згінае сваю галаву і моўчкі падстаўляе яе пад абух.",Якуб Колас,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Крыкі спрэчкі не разьвяжуць.,Якуб Колас,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Назад ня прыйдзе хваля тая, што з быстрай рэчкай уплывае.",Якуб Колас,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Корань навукі горкі, ды плады яго салодкія.",Якуб Колас,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Людзі гоняцца за багацьцем не дзеля таго, каб рабіць бліжнім дабро, а каб нічога не рабіць, або – што яшчэ горш – каб шкодзіць.",Ян Баршчэўскі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Паміраньне мовы такая ж натуральная зьява, як і нараджэньне яе. Быць можа, што і мая мова некалі памрэ. Як памру я сам, чалавек. І я аніяк не баюся натуральнай сьмерці. А от калі насільна паміраць – страшна.",Ян Скрыган,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Лепей памерці ад голаду, смагі і шчасьця ня ведаць спрадвеку, чым подласьць зрабіць хоць каму без развагі, тым болей – забіць чалавека.",Ян Чачот,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Зусім не хістаюцца слупы, асабліва – глыбока ўкапаныя.",Янка Брыль,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Можа таму і памірае ад настальгіі чалавек, які пры жывой радзіме топча чужыя травы, лашчыць чужыя кветкі, чуе чужую мову сваіх дзяцей.",Янка Сіпакоў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Дружнасць – першы крок свабоды, 
Згода – сіла грамады",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Эх, час касьбы, вясёлы час!
І я ім цешыўся не раз",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Раздолле ў лузе, эх, раздолле!",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Ад зямлі да зор і сонца
Няма думкам забаронцы",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Дык не гаруй жа, брат-нябога:
Дзянькоў вясёлых яшчэ многа!..",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Сабраць з дарог каменні тыя,
Што губяць сілы маладыя",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Гаршчок агорнуты пашанай,
Хоць ён фаміліі глінянай",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
Асадзі назад!,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Забілі зайца, не забілі,
Але ж брат, гуку нарабілі",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Адны трымаюць нос высока
Другія ў дол спускаюць вока",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
Купіць зямлю – купіць не лыка,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"І дзе на свеце ёсць такая,
Як Нёман, рэчачка другая?",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"О край мой мілы!.. Усёй душою
Хачу злучыцца я з табою",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Добра быць у дарозе, якую ты сам сабе выбіраеш",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Увесь век варушымся, збіраем
Канца ж патрэбам тым не знаем",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"А там, за светам, на чужыне
Ніхто цябе, ой, не прыхіне!",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Зірнеш і страчваешся ты:
Сядзяць грыбы, як капыты",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Дзве патрэбы трэба мець, каханы!
Адна рэч – розум выхаваны.
Другая рэч, Антось харошы,
Таксама трэба мець і грошы",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"…Жывую сілу
Не запраторыш ты ў магілу",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
У воду войдзеш – шчасце раю…,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
Абшарыць кішэні свае памяці,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Эх, слаўна ў лесе, слаўна, братцы!",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"І спрэчку тым яны канчалі,
Што гэту скварку разразалі

Назад не прыйдзе хваля тая,
Што з быстрай рэчкай уплывае",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Ці ж мы хлопцы рук не маем?
Ці ж нам сілы бог не даў?",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Мой родны кут, як ты мне мілы!..",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
Я печ на рай не памяняю!,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Які ты, хлопча, нецярпячка,
Няхай цябе затопча качка",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
Гора не сціхне ад слоў!,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Эх, гэта толькі мары-кралі!
О, каб яны ды праўдай сталі!",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
"Сама пакажа справа,
Ці варта шуму ўся аблава",Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
Каса не косіць – каса брые,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
Я ўрос у зямлю,Якуб Колас,nlb.by,webpage,https://www.nlb.by/by/infarmatsyynyya-resursy/elektronnyya-infarmatsyynyya-resursy/resursy-natsyyanalnay-bibliyateki-belarusi/virtualnyya-praekty-vysta-ki-i-kalektsyi/virtualnyya-praekty-bibliyateki/klasiki-susvetnay-litaratury-yanka-kupala-i-yakub-/vyslo-i-vykazvanni-afaryzmy-belaruskikh-pesnyaro
