quote,author,source,low_text
"Хто не любіць волі, – не нашага роду",Янка Купала,nlb.by,хто не любіць волі – не нашага роду
Песня мая не ўзышла сярод кветак,Янка Купала,nlb.by,песня мая не ўзышла сярод кветак
"Ты зжылося з намі, бацькаўскае слоўца, 
Як бы корань з дрэвам, як бы зь небам сонца; 
Дзеліш з намі вечна ўсё, што з намі ходзе 
У благой і добрай мачысе-прыгодзе. I мы самі нават мо’ не спазнавалі, 
Як у думках нашых цябе гадавалі, 
Як цябе хавалі ў шчасьці і няшчасьці 
Ад напраснай злосьці, ад людской напасьці.",Янка Купала,nlb.by,ты зжылося з намі бацькаўскае слоўца як бы корань з дрэвам як бы зь небам сонца дзеліш з намі вечна ўсё што з намі ходзе у благой і добрай мачысе прыгодзе i мы самі нават мо’ не спазнавалі як у думках нашых цябе гадавалі як цябе хавалі ў шчасьці і няшчасьці ад напраснай злосьці ад людской напасьці
"<…>
Будзіцца самапачуццё народнае, падымае старонка наша свае вочы к сонцу і распрастоўвае свае магучыя плечы. Мілаванне свайго роднага слова, сваёй ядынай бацькаўшчыны Беларусі бярэ верх над адступніцтвам і прадажніцтвам сябе ў чужую няволю.",Янка Купала,nlb.by,… будзіцца самапачуццё народнае падымае старонка наша свае вочы к сонцу і распрастоўвае свае магучыя плечы мілаванне свайго роднага слова сваёй ядынай бацькаўшчыны беларусі бярэ верх над адступніцтвам і прадажніцтвам сябе ў чужую няволю
"Як жыло ты з намі – будзеш вечна жыці, 
Грамадой мільёнаў з светам гаманіці... 
З попелу мінуўшых дзён сляпых, крывавых
Весела ўзойдзе рунь святлянай славы, І радзімым словам рукой мазалістай
Беларус упіша на старонцы чыстай
Кнігі ўсіх народаў важна, у непрымусе
Сумную аповесць роднай Беларусі.",Янка Купала,nlb.by,як жыло ты з намі – будзеш вечна жыці грамадой мільёнаў з светам гаманіці з попелу мінуўшых дзён сляпых крывавых весела ўзойдзе рунь святлянай славы і радзімым словам рукой мазалістай беларус упіша на старонцы чыстай кнігі ўсіх народаў важна у непрымусе сумную аповесць роднай беларусі
"Асцярожна, ясны пане,
З грозьбамі сваімі!",Янка Купала,nlb.by,асцярожна ясны пане з грозьбамі сваімі
"Покі Юрка не меў чына, 
Быў нішто сабе дзяціна",Янка Купала,nlb.by,покі юрка не меў чына быў нішто сабе дзяціна
"Ёсць жа вялікая праўда на свеце –
Праўда, сілаю роўная сонца агням",Янка Купала,nlb.by,ёсць жа вялікая праўда на свеце – праўда сілаю роўная сонца агням
"Само сонца ўзяць у рукі
І, як з паходняй, з ім ісці",Янка Купала,nlb.by,само сонца ўзяць у рукі і як з паходняй з ім ісці
"Памёр пясняр... 
А песня будзе жыць і жыць",Янка Купала,nlb.by,памёр пясняр а песня будзе жыць і жыць
"Ніколі, браткі, не забуду, 
Што чалавек я, хоць мужык",Янка Купала,nlb.by,ніколі браткі не забуду што чалавек я хоць мужык
"Ад вёскі адбіўся, у палац не папаў",Янка Купала,nlb.by,ад вёскі адбіўся у палац не папаў
"К праўдзе ўвагі не знае, не чуе, 
Як змяя, чалавечая злосць",Янка Купала,nlb.by,к праўдзе ўвагі не знае не чуе як змяя чалавечая злосць
Кожны народ сам сабе пан,Янка Купала,nlb.by,кожны народ сам сабе пан
"<…>
Беларус-католік ці беларус-праваслаўны павінны тое помніць, што ў іх адна Бацькаўшчына – Беларусь, адна мова родная – беларуская, адны звычаі і абычаі, адвеку перадаваныя з пакалення ў пакаленне.",Янка Купала,nlb.by,… беларус католік ці беларус праваслаўны павінны тое помніць што ў іх адна бацькаўшчына – беларусь адна мова родная – беларуская адны звычаі і абычаі адвеку перадаваныя з пакалення ў пакаленне
"Слова, дум ніхто не звяжа",Янка Купала,nlb.by,слова дум ніхто не звяжа
Не скуеш толькі дум ланцугамі,Янка Купала,nlb.by,не скуеш толькі дум ланцугамі
"Ведае свет, што вялікіх дум цвет
Адно толькі на зломе ўзрастае",Янка Купала,nlb.by,ведае свет што вялікіх дум цвет адно толькі на зломе ўзрастае
"Слоў не крышыць ні век, ні тапор",Янка Купала,nlb.by,слоў не крышыць ні век ні тапор
"Ты так жа, брат, сееш... а дзе ж тваё жніва",Янка Купала,nlb.by,ты так жа брат сееш а дзе ж тваё жніва
"Чаго вам хочацца, панове? 
Якi вас выклiкаў прымус
Забiць трывогу аб тэй мове, 
Якой азваўся беларус? Чаму вам дзiка яго мова? 
Паверце, вашай ён не ўкраў, 
Сваё ён толькi ўспомнiў слова, 
З якiм радзiўся, падрастаў.",Янка Купала,nlb.by,чаго вам хочацца панове якi вас выклiкаў прымус забiць трывогу аб тэй мове якой азваўся беларус чаму вам дзiка яго мова паверце вашай ён не ўкраў сваё ён толькi ўспомнiў слова з якiм радзiўся падрастаў
Воля сонейку раўня,Янка Купала,nlb.by,воля сонейку раўня
"Магутнае слова, ты, роднае слова! 
Са мной ты на яве і ў сне; 
Душу мне затрэсла пагудкаю новай, 
Ты песень наўчыла мяне. Бяссмертнае слова, ты, роднае слова! 
Ты крыўды, няпраўды змагло; 
Хоць гналі цябе, накладалі аковы, 
Дый дарма: жывеш, як жыло! Свабоднае слова, ты, роднае слова! 
Зайграй ты смялей, весялей! 
Хоць гадзіны сыкаюць, кружацца совы, 
Жывеш ты на хвалу людзей. Загнанае слова, ты, роднае слова! 
Грымі ж над радзімай зямлёй: 
Што родная мова, хоць бедная мова, 
Мілей найбагатшай чужой!",Янка Купала,nlb.by,магутнае слова ты роднае слова са мной ты на яве і ў сне душу мне затрэсла пагудкаю новай ты песень наўчыла мяне бяссмертнае слова ты роднае слова ты крыўды няпраўды змагло хоць гналі цябе накладалі аковы дый дарма жывеш як жыло свабоднае слова ты роднае слова зайграй ты смялей весялей хоць гадзіны сыкаюць кружацца совы жывеш ты на хвалу людзей загнанае слова ты роднае слова грымі ж над радзімай зямлёй што родная мова хоць бедная мова мілей найбагатшай чужой
"Пясняр – слуга слугі ўсякай, 
Пясняр і цар усіх цароў!",Янка Купала,nlb.by,пясняр – слуга слугі ўсякай пясняр і цар усіх цароў
"Будзь смелым, як вецер, як воля сама! 
Знай, смелых не чэпе ні крыўда, ні цьма!",Янка Купала,nlb.by,будзь смелым як вецер як воля сама знай смелых не чэпе ні крыўда ні цьма
Маркотна мне без Беларусі,Янка Купала,nlb.by,маркотна мне без беларусі
Крамная скура,Янка Купала,nlb.by,крамная скура
"Памёр пясняр, забыт людзямі, 
А песню ўсе яго пяюць",Янка Купала,nlb.by,памёр пясняр забыт людзямі а песню ўсе яго пяюць
"Дрэмле Юрка ў заканурку
І чакае долі",Янка Купала,nlb.by,дрэмле юрка ў заканурку і чакае долі
"Дзе воўк урадзіўся, 
Яму куст той мілы",Янка Купала,nlb.by,дзе воўк урадзіўся яму куст той мілы
Вянкоў мы славы не насілі,Янка Купала,nlb.by,вянкоў мы славы не насілі
Не цурайцесь роднай песні ў шчасці і ў жалобе,Янка Купала,nlb.by,не цурайцесь роднай песні ў шчасці і ў жалобе
"Зайграйце, толькі ж не фальшыва –
Як суддзі, купленыя меддзю",Янка Купала,nlb.by,зайграйце толькі ж не фальшыва – як суддзі купленыя меддзю
"Заўсёды наперад! 
Ніколі назад!",Янка Купала,nlb.by,заўсёды наперад ніколі назад
Песня мая не шукае чырвонцаў,Янка Купала,nlb.by,песня мая не шукае чырвонцаў
"Вучыся, нябожа, вучэнне паможа
Змагацца з нядоляй, няволяй",Янка Купала,nlb.by,вучыся нябожа вучэнне паможа змагацца з нядоляй няволяй
Нараканнем не зможаш бяды,Янка Купала,nlb.by,нараканнем не зможаш бяды
"На словах – магутны слон, 
А на дзеле – моль…",Янка Купала,nlb.by,на словах – магутны слон а на дзеле – моль…
"Эх! Іграй жа той, хто можа: 
Плакаць будзе весялей",Янка Купала,nlb.by,эх іграй жа той хто можа плакаць будзе весялей
"Дружнасць – першы крок свабоды, 
Згода – сіла грамады",Якуб Колас,nlb.by,дружнасць – першы крок свабоды згода – сіла грамады
"Эх, час касьбы, вясёлы час!
І я ім цешыўся не раз",Якуб Колас,nlb.by,эх час касьбы вясёлы час і я ім цешыўся не раз
"Раздолле ў лузе, эх, раздолле!",Якуб Колас,nlb.by,раздолле ў лузе эх раздолле
"Ад зямлі да зор і сонца
Няма думкам забаронцы",Якуб Колас,nlb.by,ад зямлі да зор і сонца няма думкам забаронцы
"Дык не гаруй жа, брат-нябога:
Дзянькоў вясёлых яшчэ многа!..",Якуб Колас,nlb.by,дык не гаруй жа брат нябога дзянькоў вясёлых яшчэ многа
"Сабраць з дарог каменні тыя,
Што губяць сілы маладыя",Якуб Колас,nlb.by,сабраць з дарог каменні тыя што губяць сілы маладыя
"Гаршчок агорнуты пашанай,
Хоць ён фаміліі глінянай",Якуб Колас,nlb.by,гаршчок агорнуты пашанай хоць ён фаміліі глінянай
Асадзі назад!,Якуб Колас,nlb.by,асадзі назад
"Забілі зайца, не забілі,
Але ж брат, гуку нарабілі",Якуб Колас,nlb.by,забілі зайца не забілі але ж брат гуку нарабілі
"Адны трымаюць нос высока
Другія ў дол спускаюць вока",Якуб Колас,nlb.by,адны трымаюць нос высока другія ў дол спускаюць вока
Купіць зямлю – купіць не лыка,Якуб Колас,nlb.by,купіць зямлю – купіць не лыка
"І дзе на свеце ёсць такая,
Як Нёман, рэчачка другая?",Якуб Колас,nlb.by,і дзе на свеце ёсць такая як нёман рэчачка другая
"О край мой мілы!.. Усёй душою
Хачу злучыцца я з табою",Якуб Колас,nlb.by,о край мой мілы усёй душою хачу злучыцца я з табою
"Добра быць у дарозе, якую ты сам сабе выбіраеш",Якуб Колас,nlb.by,добра быць у дарозе якую ты сам сабе выбіраеш
"Увесь век варушымся, збіраем
Канца ж патрэбам тым не знаем",Якуб Колас,nlb.by,увесь век варушымся збіраем канца ж патрэбам тым не знаем
"А там, за светам, на чужыне
Ніхто цябе, ой, не прыхіне!",Якуб Колас,nlb.by,а там за светам на чужыне ніхто цябе ой не прыхіне
"Зірнеш і страчваешся ты:
Сядзяць грыбы, як капыты",Якуб Колас,nlb.by,зірнеш і страчваешся ты сядзяць грыбы як капыты
"Дзве патрэбы трэба мець, каханы!
Адна рэч – розум выхаваны.
Другая рэч, Антось харошы,
Таксама трэба мець і грошы",Якуб Колас,nlb.by,дзве патрэбы трэба мець каханы адна рэч – розум выхаваны другая рэч антось харошы таксама трэба мець і грошы
"…Жывую сілу
Не запраторыш ты ў магілу",Якуб Колас,nlb.by,…жывую сілу не запраторыш ты ў магілу
У воду войдзеш – шчасце раю…,Якуб Колас,nlb.by,у воду войдзеш – шчасце раю…
Абшарыць кішэні свае памяці,Якуб Колас,nlb.by,абшарыць кішэні свае памяці
"Эх, слаўна ў лесе, слаўна, братцы!",Якуб Колас,nlb.by,эх слаўна ў лесе слаўна братцы
"І спрэчку тым яны канчалі,
Што гэту скварку разразалі

Назад не прыйдзе хваля тая,
Што з быстрай рэчкай уплывае",Якуб Колас,nlb.by,і спрэчку тым яны канчалі што гэту скварку разразалі назад не прыйдзе хваля тая што з быстрай рэчкай уплывае
"Ці ж мы хлопцы рук не маем?
Ці ж нам сілы бог не даў?",Якуб Колас,nlb.by,ці ж мы хлопцы рук не маем ці ж нам сілы бог не даў
"Мой родны кут, як ты мне мілы!..",Якуб Колас,nlb.by,мой родны кут як ты мне мілы
Я печ на рай не памяняю!,Якуб Колас,nlb.by,я печ на рай не памяняю
"Які ты, хлопча, нецярпячка,
Няхай цябе затопча качка",Якуб Колас,nlb.by,які ты хлопча нецярпячка няхай цябе затопча качка
Гора не сціхне ад слоў!,Якуб Колас,nlb.by,гора не сціхне ад слоў
"Эх, гэта толькі мары-кралі!
О, каб яны ды праўдай сталі!",Якуб Колас,nlb.by,эх гэта толькі мары кралі о каб яны ды праўдай сталі
"Сама пакажа справа,
Ці варта шуму ўся аблава",Якуб Колас,nlb.by,сама пакажа справа ці варта шуму ўся аблава
Каса не косіць – каса брые,Якуб Колас,nlb.by,каса не косіць – каса брые
Я ўрос у зямлю,Якуб Колас,nlb.by,я ўрос у зямлю
Такі пісака – не расчытае і сабака,Якуб Колас,nlb.by,такі пісака – не расчытае і сабака
Дзе ўсё прыводзіцца к карыту…,Якуб Колас,nlb.by,дзе ўсё прыводзіцца к карыту…
"Эх, досвітак маленства, лета!
Вамі навек душа сагрэта!",Якуб Колас,nlb.by,эх досвітак маленства лета вамі навек душа сагрэта
"Думка ходзіць, дзе захоча",Якуб Колас,nlb.by,думка ходзіць дзе захоча
"Няхай надзея
Гарыць у сэрцы і мацнее",Якуб Колас,nlb.by,няхай надзея гарыць у сэрцы і мацнее
А парогі – прэч з дарогі!,Якуб Колас,nlb.by,а парогі – прэч з дарогі
"Бо людзі схільны строіць кпіны
З тваіх нягод без дай прычыны",Якуб Колас,nlb.by,бо людзі схільны строіць кпіны з тваіх нягод без дай прычыны
"Варона гонар свой збаўляе
Ды зноў да сметніка вітае

Глядзеце, якая цаца ззяе ў смецці!",Якуб Колас,nlb.by,варона гонар свой збаўляе ды зноў да сметніка вітае глядзеце якая цаца ззяе ў смецці
"Без атак і абароны
Няма сапраўднае вайны",Якуб Колас,nlb.by,без атак і абароны няма сапраўднае вайны
"Які ён гога! Які дока!
Як ён сябе нясе высока!",Якуб Колас,nlb.by,які ён гога які дока як ён сябе нясе высока
"Чалавеку заўсёды мала, не хватае:
Ці ёсць канец яго патрэбам?",Якуб Колас,nlb.by,чалавеку заўсёды мала не хватае ці ёсць канец яго патрэбам
А ў кандыдатах ніколі нястачы не бывае на свеце,Якуб Колас,nlb.by,а ў кандыдатах ніколі нястачы не бывае на свеце
Толькі ліха сну не мае,Якуб Колас,nlb.by,толькі ліха сну не мае
"Як паглядзіш–божа мілы!
Што з людзямі робіць чын!",Якуб Колас,nlb.by,як паглядзіш–божа мілы што з людзямі робіць чын
Песень дар – агонь душы і сэрца жар,Якуб Колас,nlb.by,песень дар – агонь душы і сэрца жар
"Гасподзь схіляецца да ўсіх, ды ніцых духам Ён ня чуе.",Ніна Мацяш,svaboda.org_a_24255332.html,гасподзь схіляецца да ўсіх ды ніцых духам ён ня чуе
"Хоць, праўда, хлеб ядуць і з вуды, але не ўсе і не заўсюды.",Якуб Колас,svaboda.org_a_24255332.html,хоць праўда хлеб ядуць і з вуды але не ўсе і не заўсюды
"У істоце кожнага страху ляжыць наша няведаньне, наша цемната.",Якуб Колас,svaboda.org_a_24255332.html,у істоце кожнага страху ляжыць наша няведаньне наша цемната
"Сьмерць кожны дзень ходзіць вакол, кожную хвіліну нішчыць і маладзенькія, і старыя формы жыцьця, і мы не зварачаем на гэта ўвагі, і толькі тады яна робіць моцнае ўражаньне, калі ўмірае хто блізкі або калі наваліцца мор і людзі пачынаюць уміраць агулам – тады чалавека ахоплівае жах і ён губляе галаву. І вось што цікава. Калі парушаюцца драбязговыя правы, то чалавек гатоў грызьціся за гэта і кусацца зубамі; там жа, дзе разьбіваецца сама аснова, прынцып, ён згінае сваю галаву і моўчкі падстаўляе яе пад абух.",Якуб Колас,svaboda.org_a_24255332.html,сьмерць кожны дзень ходзіць вакол кожную хвіліну нішчыць і маладзенькія і старыя формы жыцьця і мы не зварачаем на гэта ўвагі і толькі тады яна робіць моцнае ўражаньне калі ўмірае хто блізкі або калі наваліцца мор і людзі пачынаюць уміраць агулам – тады чалавека ахоплівае жах і ён губляе галаву і вось што цікава калі парушаюцца драбязговыя правы то чалавек гатоў грызьціся за гэта і кусацца зубамі там жа дзе разьбіваецца сама аснова прынцып ён згінае сваю галаву і моўчкі падстаўляе яе пад абух
Крыкі спрэчкі не разьвяжуць.,Якуб Колас,svaboda.org_a_24255332.html,крыкі спрэчкі не разьвяжуць
"Назад ня прыйдзе хваля тая, што з быстрай рэчкай уплывае.",Якуб Колас,svaboda.org_a_24255332.html,назад ня прыйдзе хваля тая што з быстрай рэчкай уплывае
"Корань навукі горкі, ды плады яго салодкія.",Якуб Колас,svaboda.org_a_24255332.html,корань навукі горкі ды плады яго салодкія
"Паэт – ён гарыць, як балючы гузак на лобе абражанага народу.",Рыгор Барадулін,svaboda.org_a_24255332.html,паэт – ён гарыць як балючы гузак на лобе абражанага народу
Сорам у спадчыну не пераходзіць.,Рыгор Барадулін,svaboda.org_a_24255332.html,сорам у спадчыну не пераходзіць
"Якім бы велічным ні здаваўся трон, усё роўна на ім сядзіць задніца.",Рыгор Барадулін,svaboda.org_a_24255332.html,якім бы велічным ні здаваўся трон усё роўна на ім сядзіць задніца
"І датуль чалавек жывы, покуль зь ім душа размаўляе.",Рыгор Барадулін,svaboda.org_a_24255332.html,і датуль чалавек жывы покуль зь ім душа размаўляе
"Адчуваю сябе лепш, чым было, але горш, чым хацелася б.",Рыгор Барадулін,svaboda.org_a_24255332.html,адчуваю сябе лепш чым было але горш чым хацелася б
Кожны раз чалавецтва бліжэй да шчасьця на вышыню нашых магіл.,Кастусь Каліноўскі,svaboda.org_a_24255332.html,кожны раз чалавецтва бліжэй да шчасьця на вышыню нашых магіл
"Не народ для ўрада, а ўрад для народа.",Кастусь Каліноўскі,svaboda.org_a_24255332.html,не народ для ўрада а ўрад для народа
"Няма, браткі, большага шчасьця на гэтым сьвеце, як калі чалавек мае розум і навуку ў галаве.",Кастусь Каліноўскі,svaboda.org_a_24255332.html,няма браткі большага шчасьця на гэтым сьвеце як калі чалавек мае розум і навуку ў галаве
"Мы павінны быць рабамі законаў для таго, каб мець магчымасьць карыстацца свабодай.",Леў Сапега,svaboda.org_a_24255332.html,мы павінны быць рабамі законаў для таго каб мець магчымасьць карыстацца свабодай
"Для прыстойнага чалавека няма большай асалоды, як жыць у сваёй айчыне ў поўнай бясьпецы, ні з кім ня біцца і не сварыцца і каб ніхто яго не зьняславіў ці пакалечыў або паквапіўся на яго дабро.",Леў Сапега,svaboda.org_a_24255332.html,для прыстойнага чалавека няма большай асалоды як жыць у сваёй айчыне ў поўнай бясьпецы ні з кім ня біцца і не сварыцца і каб ніхто яго не зьняславіў ці пакалечыў або паквапіўся на яго дабро
"Кожны народ мае хаця б адзін геніяльны твор, і гэты твор - мова.",Алесь Разанаў,svaboda.org_a_24255332.html,кожны народ мае хаця б адзін геніяльны твор і гэты твор мова
"Верш нараджаецца не з уласнага «хачу», а зь безабароннага «хочацца».",Алесь Разанаў,svaboda.org_a_24255332.html,верш нараджаецца не з уласнага «хачу» а зь безабароннага «хочацца»
"Час - люстэрка, у якім кожны ўбачыць сябе, як іншага.",Алесь Разанаў,svaboda.org_a_24255332.html,час люстэрка у якім кожны ўбачыць сябе як іншага
"Горай ня будзе, бо лепш не было.",Уладзімер Някляеў,svaboda.org_a_24255332.html,горай ня будзе бо лепш не было
"Страта любові да сваёй краіны – самае страшнае з усяго, што ў нас адбылося. Страшней за самы страшны крызіс. Дэвальвацыя рубля нішто ў параўнаньні з дэвальвацыяй любові.",Уладзімер Някляеў,svaboda.org_a_24255332.html,страта любові да сваёй краіны – самае страшнае з усяго што ў нас адбылося страшней за самы страшны крызіс дэвальвацыя рубля нішто ў параўнаньні з дэвальвацыяй любові
"Як ад нараджэньня зьвяры, што ходзяць у пустыні, ведаюць ямы свае; птушкі, што лётаюць у паветры, ведаюць гнёзды свае; рыбы, што плаваюць па моры і ў рэках, чуюць віры свае; пчолы і тым падобныя бароняць вульлі свае, – так і людзі, дзе нарадзіліся і ўскормлены, да таго месца вялікую ласку маюць.",Францішак Скарына,svaboda.org_a_24255332.html,як ад нараджэньня зьвяры што ходзяць у пустыні ведаюць ямы свае птушкі што лётаюць у паветры ведаюць гнёзды свае рыбы што плаваюць па моры і ў рэках чуюць віры свае пчолы і тым падобныя бароняць вульлі свае – так і людзі дзе нарадзіліся і ўскормлены да таго месца вялікую ласку маюць
Кожны чалавек носіць сваё неба з сабой.,Уладзімер Караткевіч,svaboda.org_a_24255332.html,кожны чалавек носіць сваё неба з сабой
"Вечна тваім застанецца толькі тое, што ты аддаў.",Уладзімер Караткевіч,svaboda.org_a_24255332.html,вечна тваім застанецца толькі тое што ты аддаў
"Абыякавы да мінулага ня мае аніякай інтэлектуальнай перавагі над жывёлай, і таму ёсьць першы кандыдат на маральную, а затым і фізычную сьмерць. Усё адно хто гэта - чалавек ці народ.",Уладзімер Караткевіч,svaboda.org_a_24255332.html,абыякавы да мінулага ня мае аніякай інтэлектуальнай перавагі над жывёлай і таму ёсьць першы кандыдат на маральную а затым і фізычную сьмерць усё адно хто гэта чалавек ці народ
"Рабі нечаканае, рабі, як не бывае, рабі, як ня робіць ніхто - і тады пераможаш.",Уладзімер Караткевіч,svaboda.org_a_24255332.html,рабі нечаканае рабі як не бывае рабі як ня робіць ніхто і тады пераможаш
Дзеці – усьмешка Божая.,Уладзімер Караткевіч,svaboda.org_a_24255332.html,дзеці – усьмешка божая
У савана няма кішэняў.,Уладзімер Караткевіч,svaboda.org_a_24255332.html,у савана няма кішэняў
"Як заўжды на вайне, галоўная плата – кроў, і плаціць той, хто найменш вінаваты.",Васіль Быкаў,svaboda.org_a_24255332.html,як заўжды на вайне галоўная плата – кроў і плаціць той хто найменш вінаваты
"Праўда ў гісторыі – функцыя адназначная, зь яе робяць урокі. З хлусьні ніякіх урокаў ня зробіш, апроч новай хлусьні.",Васіль Быкаў,svaboda.org_a_24255332.html,праўда ў гісторыі – функцыя адназначная зь яе робяць урокі з хлусьні ніякіх урокаў ня зробіш апроч новай хлусьні
"Чалавек, як i кожная жывая iстота ад Бога, нараджаецца свабодным.",Васіль Быкаў,svaboda.org_a_24255332.html,чалавек як i кожная жывая iстота ад бога нараджаецца свабодным
Порахам чалавека ня выхаваеш.,Васіль Быкаў,svaboda.org_a_24255332.html,порахам чалавека ня выхаваеш
"Пакуль дашукаесься адной школы з кніжкамі, пройдзеш трыццаць корчмаў з гарэлкай.",Аляксандар Ельскі,svaboda.org_a_24255332.html,пакуль дашукаесься адной школы з кніжкамі пройдзеш трыццаць корчмаў з гарэлкай
"Быць паэтам знача ня толькі любоў зьняволеных землякоў, але й помста сільных ворагаў нашай зямлі і свабоды.",Ларыса Геніюш,svaboda.org_a_24255332.html,быць паэтам знача ня толькі любоў зьняволеных землякоў але й помста сільных ворагаў нашай зямлі і свабоды
"У жыцьці няма нічога вечнага, бо жыцьцё самое да пары.",Ларыса Геніюш,svaboda.org_a_24255332.html,у жыцьці няма нічога вечнага бо жыцьцё самое да пары
"Багацее ня той, хто шмат працуе, а той, хто ўмее гаспадарыць.",Зянон Пазьняк,svaboda.org_a_24255332.html,багацее ня той хто шмат працуе а той хто ўмее гаспадарыць
"Праходзіць час, і фатаграфія шчыміць.",Зянон Пазьняк,svaboda.org_a_24255332.html,праходзіць час і фатаграфія шчыміць
"З Бацькаўшчынай — як з каханай, добра быць разам, ісьці па яе дарогах, ляцець, каб убачыць усю.",Зянон Пазьняк,svaboda.org_a_24255332.html,з бацькаўшчынай — як з каханай добра быць разам ісьці па яе дарогах ляцець каб убачыць усю
Яшчэ нікому не ўдавалася закратаваць вакно памяці.,Уладзімер Арлоў,svaboda.org_a_24255332.html,яшчэ нікому не ўдавалася закратаваць вакно памяці
"Я ведаю людзей, якія задыхнуліся ад вострага недахопу свабоды.",Уладзімер Арлоў,svaboda.org_a_24255332.html,я ведаю людзей якія задыхнуліся ад вострага недахопу свабоды
"Кожны пражыты дзень адкідае тое, што ёсьць, і набліжае тое, што будзе.",Кузьма Чорны,svaboda.org_a_24255332.html,кожны пражыты дзень адкідае тое што ёсьць і набліжае тое што будзе
"Каб сонца засланіць, вушэй асьліных мала.",Кандрат Крапіва,svaboda.org_a_24255332.html,каб сонца засланіць вушэй асьліных мала
"Народ можа дараваць пісьменьнікам многае, але ня можа дараваць маўчаньня ў часы, калі вырашаецца яго лёс.",Максім Танк,svaboda.org_a_24255332.html,народ можа дараваць пісьменьнікам многае але ня можа дараваць маўчаньня ў часы калі вырашаецца яго лёс
Кажуць: зло нараджае зло. А найчасьцей – яго нараджае надзея на адпушчэньне грахоў.,Максім Танк,svaboda.org_a_24255332.html,кажуць зло нараджае зло а найчасьцей – яго нараджае надзея на адпушчэньне грахоў
"Усе дарогі бясконцыя, апрача той, якая вядзе на могілкі.",Максім Танк,svaboda.org_a_24255332.html,усе дарогі бясконцыя апрача той якая вядзе на могілкі
"Гісторыя нагадвае склад запасных частак, зь якога кожны цягне патрэбную для сябе дэталь.",Максім Танк,svaboda.org_a_24255332.html,гісторыя нагадвае склад запасных частак зь якога кожны цягне патрэбную для сябе дэталь
"Самая большая памылка Бога, што ён стварыў чалавека, які стаў і яго забойцам...",Максім Танк,svaboda.org_a_24255332.html,самая большая памылка бога што ён стварыў чалавека які стаў і яго забойцам
