category,proverb
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Гаспадарку весці — не лапці плесці. 
а) Дом вясці — не лапці плясці."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Няма лепшае справы ад свае хаткі.
ХАРЧАВАННЕ,"Голад не цётка, з'есць, што папала. 
а) Голад не цётка, паглядзяць ды з'ядзяць."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Усякі бача, што на мне, ды не ўсякі бача, што ў мне. 
а) Ніхто не бачыць, што ўва мне, да ўсе бачаць, што на мне. 
б) Усе бачаць, што на мне, a ніхто не знае, што ў вуме."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Меншы воз — менш i слёз.
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,Родная зямелька як зморанаму пасцелька.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Бліз цара — бліз смерці.
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Дзярэ каза лазу, а воўк казу, а мужык воўка, а поп мужыка."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,У сваім стане i прыстаў цар.
ЗАКОНЫ. ТУРМА,"Не давай, божа, лячыцца ды судзіцца."
СЛУЖБА. НАЙМЫ,У людзях хрыпіць у грудзях.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Што грамада скажа — i пан не паможа.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Чалавек без друга, што яда без солі."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бедната — дурата.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На бяду то й чорт не спіць.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не хваліся, ідучы на базар, а як з базару."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Выхаваў дзяціну на ліхую гадзіну.
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Як у палаўцоў — на сем сёл адзін вол.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Зямля багацей ад усіх.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Як зіма без марозу, так вясна без шкоды не абайдуцца."
СЕЛЬСКАЯ ГАСПАДАРКА,Лядцы як родныя атцы.
ПРОМЫСЛЫ I РАМЕСТВЫ,"Умеенкі за плячыма ніхто не носіць, да ў галаве. 
a) Умёенкі ніхто за плячыма не носіуь."
ПРАЦА,"Што цяжка здабыта, то будзе доўга жыта."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Гаспадарку весці — не кашу есці.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Хоць ракам, абы ў сваю хату."
ХАРЧАВАННЕ,"Голад не дзядзіна, з'ясі i крадзена."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Мяне i так пазнаюць — дзедаву дачку ў рваным андарачку.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Аглядайся на заднія калёсы.
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"На роднай зямлі, як на камлі."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Цар як айцец: возьме карову, прышле на скапёц. Янтс."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","У папа вочы завідушчыя, a рукі заграбушчыя."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Дзе стан, там i сіла."
ЗАКОНЫ. ТУРМА,"З суда, як з пруда,— сухі не выйдзеш."
СЛУЖБА. НАЙМЫ,"Служыць — тужыць, а хто арэ, той пяе."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,У грамадзе i рай i мука.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Хто мала жадае, той многа мае: калі не багацтва, то прыяцеляў."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бедны чалавек — брат дурнога.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","На бяду нямнога трэба. 
а) На бяду мала трэба."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не спяшы на торг, а спяшы з торгу."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Некрут харошы будзець.
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Літвін як лін.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямля не згарыць, не ўтоне. 
а) Зямля не тонець, не гарыць."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Калі не будзе зімою бела, то не будзе ўлетку зелена."
СЕЛЬСКАЯ ГАСПАДАРКА,"У лясу жывём, пню кланяемся."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Усё што ўмееш, то добра."
ПРАЦА,"Чым цяжэй, тым даражэй,"
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Гаспадаркі весці — не барадой трэсці.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Хоць альховы, абы новы."
ХАРЧАВАННЕ,Голад не свой брат.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Урадзіў, не ўрадзіў, а шчэ голы не хадзіў."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Крывое калясо на сябе балота кідаець. 
а) Крывое калясо на сабе гразь цягнець."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,Усякаму міла свая старана.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Соладка ды смачна толькі цары ядуць. 
а) Соладка да смачна толькі хіба цар есць."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Папоускае вока бачыць далека.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Масла міравому, сала станавому, а конь за труды — паехаць хоць куды."
ЗАКОНЫ. ТУРМА,Як пачнецца цяганіна—не раз упрэе чупрына.
СЛУЖБА. НАЙМЫ,Пайшоў служыць — прыйдзецца ў горы жыць.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Людзі без людзей быць не могуць.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Прыяцеля (сябра) за грошы не купіш.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Калі ты бяднейшы, то ты i дурнейшы."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На бяду i з палкі выстраліш.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Адным кірмаш, a другім жыцця нямаш."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",У лазу пашоў.
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"Літвін божы. — Ты сам божы. — Літвін чортаў. — Хоць чортаў, да не твой."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",На добрай зямлі добра надзея.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Зімою абрыдзіць нос абціраючы, a ўлетку абрыдзіць вароты адчыняючы."
СЕЛЬСКАЯ ГАСПАДАРКА,"Каб корч ды стаў сторч, то лягчэй бы выцягваць яго бы­ ло."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Які рамеснік — такая работа. 
a) Які майсцер — такая работа."
ПРАЦА,"Чалавек жыве век, а добрае дзела — два."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Гаспадарку вадзіць — не зажмурыўшы вочы хадзіць.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Свая стрэха — свая ўцеха.
ХАРЧАВАННЕ,"Голад i лжэць i крадзець. 
а) Голад i лгар i злодзей."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Як i на паноў рабілі, то голы не хадзілі."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Худое кола мацней скрыпіць.
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,Кожнаму свой куток мілы.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Не каралеўскае (царскае) слова — можна адмяніць.
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Не так у папа воласы доўгі, як рукі."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Што ў тым цітуле, кагда нет у шкатуле. 
а) Чорт па тытуле, калі пусткі ў шкатуле."
ЗАКОНЫ. ТУРМА,Стаў па судах цягацца — прыдзецца за торбу ўзяцца.
СЛУЖБА. НАЙМЫ,"Хто хоча гора зажыць, няхай ідзе да двара служыць."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Без людзей не быць.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Хоць мае прападзець, учыню дружбу."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Беднаму ўсюдых бедна.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",За нечывелі i ў агонь кінешся.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Дзе Андрэй ды Тамаш, там цэлы кірмаш."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Краснай (чырвонай) шапкі не мінуць.
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,На Жмуйдзі i куры людзі.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Такая зямля добрая: пасадзі аглоблю — калёсы вырастуць.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Зімовы дзянёк, што камароў насок."
СЕЛЬСКАЯ ГАСПАДАРКА,"Не араць, a цаліну драць."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Было рамясло, ды хмелем парасло."
ПРАЦА,"Работай ад зары да зары — не будзеш жыць за долю, а будзеш жыць за мазалі."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Паглянем, што ў вас робіцца ў двары, — скажам, якія вы гаспадары."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Кожан у сваей хаце пан. 
а) Кожны пан у сваей хаце."
ХАРЧАВАННЕ,Голад крадзе i мусіць.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Голы скача, босы плача."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Не мой конь — не мой воз. 
а) Не наш конь — не наш i воз."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Дзе маці нарадзіла, там i радзіма."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Хоць каралём, толькі б не ў нашым царстве."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","У папа, кажуць, дзве рукі: адна, што ксціць, другая, што бярэць, а тэй, што даець, — тэй няма."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Сядзіць на двох столках.
ЗАКОНЫ. ТУРМА,"Хто судзіцца, той нудзіцца."
СЛУЖБА. НАЙМЫ,"Чым лепі служу, тым горы дасаду бачу."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Свет вялік, a ў свеце людзі."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Нядарам сябар кажа.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Беднаму ўсюды цесна.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда грошы знайдзе. 
а) Бяда найдзець грошы."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Як пана нямаш, дык i кірмаш."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Што ты мяне тыкаеш? Мяне цар пугавіцамі абтыкаў.
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Палешуку то й серп дзіва.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","На добрай зямлі дзіця пасадзі, i тое вырасце."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Зімою сонца свеціць, ды не грэе."
СЕЛЬСКАЯ ГАСПАДАРКА,"У каго чорна глыба, у таго й хлеба скіба."
ПРОМЫСЛЫ I РАМЕСТВЫ,Па рабоце майстра знаць.
ПРАЦА,"Праца да рукі — моцныя парукі. 
а) Праца i рукі — моцныя зарукі."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Вучыся гаспадарыць, яшчэ тавар пасучы."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","На сваём сметніку i певень гаспадар. 
а) На сваём сметніку й певень смелы (смялейшы)."
ХАРЧАВАННЕ,Голад — найлепшы кухар.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Галодны мілю ўвойдзеш, а голы i за парог не выйдзеш.
а) Галодны перабяжыць усё поле, а голы ані за парог. 
б) Галодны поле пярэйдзеш, а голы не."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Hi калёс, ні атос, воўк кабылку панёс."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,Лепш нічога няма свайго роднага вугла.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Сволач — цару помач. Ян/с.
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",У папа шырокія рукава.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Юрысты на рукі нячысты.
ЗАКОНЫ. ТУРМА,"На суд не просяць, а суд завядзеш — не бросяць."
СЛУЖБА. НАЙМЫ,Служба не свой брат.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Ідзе грамада, i я туда."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"У няшчасці прыяцеля пазнаць. 
а) Прыяцеля пазнаеш у няшчасцю. 
б) У бядзе друга пазнаюць."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Беднаму i вецер у вочы. 
а) Беднаму заўсёды вецер у вочы."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Абы бяда — грошы будуць.
а) Як бяда, то i грошы будуць.
б) Каб напасць, то бог грошы дасць.
в) Абы напасць, а грошы чорт дасць.
г) Як дасць бог бяду, то й грошай здабуду. 
д) Абы струп, будуць вошы, абы бяда, будуць грошы."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Як быў кірмаш, то не было над наш."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Хто хоча гора зажыць, няхай ідзе ў маскалі служыць."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Мудзер лях па шкодзе.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Якая зямля, такі i хлеб."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Зіма цёплая — сіроцкая.
СЕЛЬСКАЯ ГАСПАДАРКА,"На чорным полі бела пшаніца родзіць. 
а) На чорнай зямлі пшаніца родзіць."
ПРОМЫСЛЫ I РАМЕСТВЫ,Папала тайстра на свайго майстра.
ПРАЦА,Праца i сіла горы звернуць.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Як дбаем, так i маем.
а) Як хто дбае, так i мае. 
б) Хто дбае, той i мае."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",I курыца на сваём сметніку раскошна.
ХАРЧАВАННЕ,"Няма лепшае навукі, як голад."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Якія з голага смешкі, калі няма адзежкі."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Залатыя калёсцы, да цяжка везці."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Мілы той куток (дамок), айдзе рэзан пупок.
а) Дораг той куток, дзе рэзалі пупок.
б) Мілы той куток, дзе вязаны пупок. 
в) Дарагі той куток, дзе завязалі пупок."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Каго бог мілуе, таго й цар любуе."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",З паповых рукавоў вышла б пяцера штаноў.
