page,category,proverb
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адно дзіця, як кол у плоце. 
“Адно дзіця - гэто адзінота на ўсё жыцьцё: ні сястры, ні брата - прыперціся німа да каго” (тлум. інф.)."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адно зерне пуды збірае. 
Ашчаднасць - аснова дабрабыту."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адно ў пушку, другое ў трыбушку. 
“Так жартуюць з мужыка й жонкі, якія багацеюць на дзяцей штогот” (тлум. інф.)."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адной рукой вузел не развяжаш. 
Без людской дапамогі цяжка справіцца з жыццёвымі турботамі."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адной рукой дае, а дзвюма адбірае. 
Пра хітрага, карыслівага чалавека."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адны бацькі гадавалі, ды не адную долю ад Бога атрымалі. 
“Кажны чалавек мая свой лёс” (тлум. інф.)."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адны пануюць, а другія гаруюць. 
Пра маёмасную няроўнасць людзей."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"“Адно дзіця альбо сірата, альбо цацка” (тлум. інф.)."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад работы не гарбацеюць. 
“Работа - на радасьць, работа - на здароўе” (тлум. інф.)."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад свайго злодзея не ўсцеражэшся. 
“Калі завядзецца злодзяй у сям'і, то зь йім цяшко зладзіць” (тлум. інф.)."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад смерці не адмолішся, не адкупішся і не адпросішся."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад сябе не схаваешся (не ўцячэш). 
“Ад людзей можно схавацца, нешчо ўтаіць, а ат сябе нідзе спрату ні найдзеш” (тлум. інф.)."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад сябе толькі курыца грабе. 
“Кажан найперш думае пра сябе” (тлум. інф.). 
а) Усе да сябе грабуць, адна курыца ад сябе. 
“Калі ні дурань, то кажны клапоціцца пра сябе” (тлум. інф.)."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад цяплосці не баляць косці. 
Кажуць таму, хто наракае на гарачыню."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адрыгнуцца ваўку каровячыя слёзы. 
Крыўднік паплоціцца за прычыненую крыўду."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ажаніцца - не ўпіцца. 
Перш чым ажаніцца, трэба добра падумаць."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ажаніўся - навек жонкай падавіўся. 
Пра чалавека, які нешчаслівы ў сямейным жыцці."
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Апёкся на малацэ, то на халодную воду дзьмуць будзеш."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Арэх і рак - адзін смак. 
Спажываючы іх, ніколі не спатоліш голаду, ніколі не наясіся, бо яды гэтай мала. 
а) Баба і рак - адзін смак."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ашуканствам свет пройдзеш, а назад не вернешся."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Баба з воза - каню лягчэй. 
Калі хто адмаўляецца ад супольнай працы, то кампаньёнам ад гэтага толькі лепш: яны пазбаўляюцца ад таго, хто тармозіць справу."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Баба і чорта перахітрыць. 
Жанчыны, здольныя на хітрасць, вынаходлівыя."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Баба ў тры вузлы завяжацца, а свайго даб'ецца."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бабу б'юць за язык. 
“Жанчынам шкодзіць доўгі язык, празь яго маюць непрыемнасьці” (тлум. інф.)."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,Багатага і Бог любіць.
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Багатаму і чорт дзяцей калыша. 
Багатаму ўсе рады паслужыць."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Багаты беднаму не спагадае. 
“У багатаго ўсё е, ён ні бачыць, што бедны сядзіць бяс хлеба” (тлум. інф.). 
а) Багаты з беднага не спагадае."
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Той, хто спазнаў бяду, прыкрасць, цяпер усяго баіцца."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Багаты дзівіцца, чым бедны жывіцца. 
“Багатаму вечне ўсяго мало. Яму дзіво: “Мне ўсяго вобмаль, а як тады бедны жыве?” (тлум. інф.)."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Багаты спявае, а бедны плача. 
“Шчо б ні гаварылі, а кажнаму сваё” (тлум. інф.)."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Багаты чалавек не грашыма, а здароўем. Грудавы Р.А., 1904 г.н., Бялавічы Кос."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Байструк - божы струк. 
“Няшлюбнае дзіця - божае дзіця. Так кажуць людзі. Яму ў жыцьці трэба спадзявацца толькі на бога” (тлум. інф.)."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Балота без чорта не бывае. 
Ва ўсякай грамадзе, ва ўсякім гурце знойдзецца той, хто ігнаруе правілы традыцыйнай маралі, паводзіць сябе непрыстойна."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бачыць вока, ды ісці далёка. 
Здаецца, і няшмат працы, але, узяўшыся за яе, патраціш многа часу."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,Баязлівы і свайго ценю баіцца.
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бедавальнікаў многа, а ратавальнікаў няма. 
“Пабедаваць памогуць, а вось рады якое знайсьці, памахчы німа каму” (тлум. інф.)."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Беднаму няма чаго губляць. 
“У беднаго й так нічого німа, страты ён ні баіцца” (тлум. інф.)."
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без ахвоты няма работы. 
На ўсякую работу трэба мець хаценне."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без Бога ні да парога. 
Без Божага бласлаўлення не варта пачынаць ніякую справу."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без Божай волі з галавы і волас не ўпадзе. 
Усё падуладна Богу."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без грэбеня (начыння) і вош не заб'еш. 
“Усякае начыньне павінна быць у дбайнага гаспадара” (тлум. інф.)."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,Без навукі і пастала не спляцеш.
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без працы сядзець - можна адубець. 
“Будзеш сядзець рукі склаўшы - з голаду памрэш” (тлум. інф.). 
а) Без працы сядзець - можна здурэць. 
У працы хутка ляціць чае."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без сваркі няма гаспадаркі. 
Вядзенне сялянскай гаспадаркі нярэдка выклікае спрэчкі паміж мужам і жонкай."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без сякеры не цясляр, без лапаты не агароднік. 
Кожны шануе тыя прылады працы, без якіх не можа абысціся."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Без хлеба яда - да парога хада. 
“У хлебі жыцьцёвая сіла” (тлум. інф.)."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Белыя рукі чужой працай жывуць. 
“Белыя рукі ў гультая” (тлум. інф.)."
19,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бессаромнае вока дыму не баіцца. 
Чалавек без сораму людзей не баіцца, ён здатны на подласць."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Блізка відаць - далёка сцібаць. 
Сцібаць - ісці, крочыць."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Блізкі сусед лепш, чым далёкая радня. 
“Як бяда, то бяжыш да суседа, просіш, каб выручыў” (тлум. інф.)."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог высока, а пан далёка. 
Трэба найперш спадзявацца, разлічваць на свае сілы. “Так кажуць, як німа заступцы, як чалавек бедны” (тлум. інф.)."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог даў - Бог узяў. 
“Даўней дактароў ні было. Захварэя дзіця - і памрэ. Такімі словамі спачувалі бацькам” (тлум. інф.)."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог знае куды, калі, нашто:"
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог казаў дзяліцца. 
Трэба памагаць бедным і ўбогім."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,Бог лесу не раўняе і людзей гэтаксама.
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог не без міласці, свет не без добрых людзей."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бога на суд не падасі. 
“Як бог даў, так і будзе: бога на суд не падасі” (тлум. інф.)."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бога хвалі і чорта не гняві. 
Трэба жыць у міры і згодзе з усімі людзьмі."
20,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бі каня аўсом, а не пугаю. 
“Дагледжанаго каня падганяць ні трэба, ён сам бяжыць. Гэдак і чалавек: калі добра пад'ясі, то й праца спорыцца” (тлум. інф.)."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог не роўна дзеліць. 
У кожнага свой лёс: аднаму шчасціць больш, другому менш."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог не цяля, пазнае круцяля. 
Той, хто жыве ашуканствам і падманам, атрымае па заслугах."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог сірату любіць, але шчасця не дае. 
Гэтак кажуць, спагадаючы сіраце."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бог тройцу любіць. 
Чалавек, якому нешта недадаюць, гэтак жартуе, нагадваючы пра тое."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Браты - воўчыя раты. 
“Так кажа сястра пра братоў. Да йіх ні вельмі прытулісься, бо трэба ш сястры зямлі даць у пасах, калі замуж будзя йсьці” (тлум. інф.)."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Браў воўк, узялі і воўка. 
Нядобрыя ўчынкі, справы, колькі б яны ні тварыліся, стануць вядомыя, будуць мець канец."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Будзе галава, будуць і грошы. 
“Чалавек, у якого разумная галава на плячах, заўсёды прыдумая, як зарабіць грошы” (тлум. інф.)."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Будзе ў людзей - будзе ў нае. 
“Тое, шчо ў людзей е, калі пастараямся, будзя і ў нас” (тлум. інф.)."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Будзем жывы і Богу мілы, а людзям сам чорт не дагодзіць. 
“Ні дагаджайця людзям, а дагаджайця богу, так некалі мая маці казала” (тлум. інф.)."
21,ПРЫКАЗКІ І ПРЫМАЎКІ,"Будзем мы - будуць і грошы. 
“Будзем жывыя мы, то заробім грошы. Мёртваму нічого ні трэба” (тлум. інф.)."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Б'юць не за тое, што ўкраў, а за тое, што папаўся. 
“Пакараньне дастаняш, калі зловяць цябе на дрэнным учынку” (тлум. інф.)."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Будзеш салодкі - праглынуць, будзеш горкі - праклянуць. 
Трэба паводзіць сябе з людзьмі роўна: не запабягаць і не заядацца."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,Будзь свайму слову гаспадар.
22,ПРЫКАЗКІ І ПРЫМАЎКІ,Бульба - хлебу падмога.
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бывала, буяла, а цяпер расці не хоча. 
“Кажны хваліць сваю маладосьць” (тлум. інф.)."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Была б галава, а вошы знойдуцца. 
Чалавек часам няўрокам накліча бяду на сваю галаву."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Была мамка міла, як срачку мыла. 
“Маці трэба была, як здаровая была, як гадавала, як памагала, а на старасьці й дзеці адвярнуліся” (тлум. інф.)."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Была ў папа апошняя жонка. 
Так кажуць, калі нехта клянецца, што зрабіў благое апошні раз."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Былі б косці, а мяса нарасце. 
“Ні сьмейся с худога, ён патаўсьцее” (тлум. інф.)."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Быў конік ды з'ездзіўся. 
Са шкадаваннем кажуць, калі страцяць здароўе."
22,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бяда адна не ходзіць, за сабою другую водзіць."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бяда вымучыць і вывучыць. 
Бяда вучыць не паўтараць памылак."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бяда на бядзе едзе, бядою паганяе. 
Так кажуць, калі не шанцуе ў жыцці."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бяда не па лесе, а па людзях ходзіць."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бяды не шукай, яна сама цябе знойдзе."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бяздоннай бочкі не напоўніш, а багатага не накорміш. 
“Багатаму ўсяго мало. Чым боляй багацьця, тым боляй хочацца” (тлум. інф.)."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Бярэш кароўку, бяры і вяроўку. 
Калі траціцца большае, няма чаго плакаць па меншым."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вада дала - вада ўзяла. 
“Знайшоў што, а тады згубіў - ні бядуй: вада дала - вада ўзяла” (тлум. інф.)."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вада камень падмывае. 
Настойлівы чалавек усяго даб'ецца."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Варона малая, а горла вялікае. 
Пра крыклівага, зласлівага чалавека, які ўрэшце займеў невысокую начальніцкую пасаду."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вачыма еў бы, але душа не пускае. 
Так кажа пра сябе хворы, якому не ўсё можна есці."
23,ПРЫКАЗКІ І ПРЫМАЎКІ,"“Калі ашануюць няшчасьці, то ні ведаяш, як атрасьціся ад йіх” (тлум. інф.). Ашанаваць - апанаваць, авалодаць."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Век смачна есці не будзеш. 
Не заўсёды будзе шанцаваць у жыцці."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Век чужым розумам не пражывеш, свой трэба мець."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вока - яма, дна няма. 
Пра сквапнага чалавека."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Волас сівее - мужык дурэе. 
“Сьмяюцца с сталага мужчыны, які заглядвая на чужых кабет” (тлум. інф.)."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вольнаму - воля, а беднаму - рай. 
“Кажнаму сваё на сьвеці” (тлум. інф.). 
а) Вольнаму - воля, а святому - рай."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вось хамут твой і дуга, а я табе не слуга. 
Кажа работнік гаспадару, калі не выконваецца дамова."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Воўка ногі кормяць. 
Каб зрабіць нешта вартаснае, жыць у дастатку, то трэба пастарацца."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Відаць па вачах, хто ходзіць па начах. 
“Злодзяя выдаюць пужлівыя вочы” (тлум. інф.)."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Відаць пана па халявах. 
“І хваліцца, і нос дзярэ высоко, але пазнаяш чалавека па апратцы, які ён” (тлум. інф.)."
24,ПРЫКАЗКІ І ПРЫМАЎКІ,"Відаць шкурка, але не пазнаеш, якая ў яго натурка. 
Вонкавае аблічча чалавека вельмі падманлівае."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вочы бачылі, што выбіралі, а цяпер плачце, хоць павылазьце. 
Так адказвае жонка мужу на папрокі пра яе нядбайнасць."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вочы баяцца, а рукі зробяць. 
“Як убачыш, колькі зрабіць трэба, то спалохаясься, а возьмясься за працу - відзён яе канец” (тлум. інф.)."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вочы не бачаць, то й душа не баліць. 
Жывуць дзеці не на вачах у бацькоў, то, здаецца, усё добра ў іх."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вош і блыха не падымуць мяха. 
Кожны мусіць ведаць пра свае магчымасці і здольнасці."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Воўк не сабакі баіцца, а звягі яго. 
Пра надакучлівасць прыдзірак, часам нясцерпных."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Воўчая натура да лесу цягне. 
Як чалавек ні хавае сваёй сутнасці, але з часам яна праявіцца."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вучышся, то намучышся. 
Вучоба - нялёгкая справа."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вырас да неба, а дурны больш, чым трэба. 
Пра недалёкага, несур'ёзнага чалавека."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Высока лятаеш - нізка сядзеш. 
Пра чалавека-ганарліўца, які займае высокую пасаду. 
а) Высока ўзляцеў, каб нізка не ўпаў."
25,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вышэй за галаву (нос) не падскочыш. 
Трэба сувымяраць жаданні з сваімі здольнасцямі і магчымасцямі."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вялікая лыжка рот дзярэ. 
Зайздросны чалавек хоча мець як мага болей, але праз гэта можна 
1 здароўе страціць."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Вясенні дзень год корміць. 
Аснова дабрабыту земляроба закладваецца вясной."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гадзі ліху, абы было ціха. 
“Так гавораць жанчыны, у якіх ліхія мужыкі” (тлум. інф.)."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гадка з'есці, шкада кінуць. 
“Чалавек звыкаяцца з рэчамі. Здаецца, й непатрэбная ўжэ, а шкада выкінуць. А яшчэ так кажуць пра няўдалую жонку” (тлум. інф.)."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гадуй дзеці - не будзе за кім сядзеці. Мінчук П.,І., 1918
“Гадаваць дзяцей - вечны клопат. Вырастуць дзеці - пойдуць унукі” (тлум. інф.)."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гадуй дочкі, то будзеш хадзіць без сарочкі. 
“Дочкам трэба даць багаты пасах” (тлум. інф.)."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гадуй, маці, дзеці - будзеш бяду меці. 
“Вырастаюць дзеці - усё больш турбот: то пабіўся, то напіўся, то няўдало ажаніўся” (тлум. інф.)."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Галава вялікая, а розуму мала. 
а) Галава як цэбар, а розуму няма."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Галава гуза знойдзе (шукае). 
Пра свавольніка, неслуха."
26,ПРЫКАЗКІ І ПРЫМАЎКІ,"Галава сівая, а розуму няма. 
Пра чалавека, які век пражыў, а розуму не прыдбаў."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Галоднай куме хлеб на ўме. 
Што хвалюе і трывожыць, пра гэта чалавек і думае ўвесь час."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Галоднай курыцы проса сніцца. 
Што каго турбуе, той пра тое і думае."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Галоднаму хлеб сніцца. 
“Пра што думаяш, тоя й сьніцца” (тлум. інф.)."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Галоднаму і жук мяса. 
“Галодны не выбірая смакоў” (тлум. інф.)."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гара з гарою не зыдзецца, а чалавек з чалавекам зыдзецца. 
Пра непрадказальнасць людскіх лёсаў, сустрэч, спатканняў."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гарбатага магіла выправіць. 
“Які нарадзіўся, такі й памрэ” (тлум. інф.)."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гаспадар на сваім агародзе раўня ваяводзе. 
“Кажны на сваім надворку вялікі начальнік” (тлум. інф.)."
27,ПРЫКАЗКІ І ПРЫМАЎКІ,"Гаспадарку весці - не барадою (ганавіцамі) трэсці. 
Ганавіцы - нагавіцы. Гаспадаранне патрабуе, каб яму аддавалі ўсе сілы і здольнасці. 
а) Гаспадарку весці - не пасталы плесці. 
Пасталы - мяккі скураны абутак, які насілі даўней; часам так называлі лапці."
