category,proverb,number,book_page
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Бліз цара — бліз смерці,104,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Дзярэ каза  лазу, а воўк казу,  а мужык  воўка, а поп  мужыка",493,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,У сваім стане i прыстаў цар,655,339
СУД. ЗАКОНЫ. ТУРМА,"Не давай, божа, лячыцца ды судзіцца",768,349
СЛУЖБА. НАЙМЫ,У  людзях  хрыпіць  у  грудзях,890,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Што грамада скажа — i пан не паможа,1014,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Чалавек без друга, што яда без солі",1195,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бедната — дурата,1498,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На бяду то й чорт не спіць,1894,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не хваліся, ідучы на базар, а як з базару",2120,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Выхаваў дзяціну на ліхую гадзіну,2587,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Як у палаўцоў — на сем сёл адзін вол,2720,508
ПРАЦА,Працы i світкі не саромейся,1473,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Зямля багацей ад усіх,4,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Як зіма без марозу, так вясна без шкоды не абайдуцца",291,72
СЕЛЬСКАЯ ГАСПАДАРКА,Лядцы як родныя атцы,833,115
ПРОМЫСЛЫ I РАМЕСТВЫ,"Умеенкі за плячыма ніхто не носіць, да ў галаве
a) Умёенкі ніхто за плячыма не носіуь",1247,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,а) Дом вясці — не лапці плясці,13329,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Хоць ракам, абы ў сваю хату",318,209
ХАРЧАВАННЕ,"Вар
а) Голад не цётка, паглядзяць ды з'ядзяць",111,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","а) Ніхто не бачыць, што ўва мне, да ўсе бачаць, што на  мне",246,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Аглядайся на заднія калёсы,1171,274
РАДЗІМА. ЧУЖЫНА,"На роднай зямлі, як на камлі",4,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Цар як айцец: возьме карову, прышле на скапёц",105,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","У папа вочы завідушчыя, a рукі заграбушчыя",494,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Дзе стан, там i сіла",656,339
СУД. ЗАКОНЫ. ТУРМА,"3 суда, як з пруда,— сухі не выйдзеш",769,349
СЛУЖБА. НАЙМЫ,"Служыць — тужыць, а хто арэ, той пяе",891,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,У грамадзе i рай i мука,1015,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Хто мала жадае, той многа мае: калі не багацтва, то прыяцеляў",1196,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бедны чалавек — брат дурнога,1499,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","На бяду нямнога трэба
а) На бяду мала трэба",1895,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не спяшы на торг, а спяшы з торгу",2121,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Некрут харошы будзець,2588,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Літвін як лін,2721,508
ПРАЦА,"Што цяжка здабыта, то будзе доўга жыта",1474,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямля не згарыць, не ўтоне
а) Зямля не тонець, не гарыць",5,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі не будзе зімою бела, то не будзе ўлетку зелена",292,72
СЕЛЬСКАЯ ГАСПАДАРКА,"У лясу жывём, пню кланяемся",834,115
ПРОМЫСЛЫ I РАМЕСТВЫ,"Усё што ўмееш, то добра",1248,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Гаспадарку  весці — не кашу есці,4,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Хоць альховы, абы новы",319,209
ХАРЧАВАННЕ,"Голад не дзядзіна, з'ясі i крадзена",433,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Мяне i так пазнаюць — дзедаву дачку ў рваным андарачку,1032,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Крывое калясо на сябе балота кідаець
а) Крывое калясо на сабе гразь цягнець",1172,274
РАДЗІМА. ЧУЖЫНА,Усякаму міла свая старана,5,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Соладка ды смачна толькі цары ядуць
а) Соладка да смачна толькі хіба цар есць",106,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Папоускае вока бачыць далека,495,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Масла міравому, сала станавому, а конь за труды — паехаць хоць куды",657,339
СУД. ЗАКОНЫ. ТУРМА,Стаў па судах цягацца — прыдзецца  за  торбу  ўзяцца,771,349
СЛУЖБА. НАЙМЫ,Пайшоў  служыць — прыйдзецца ў горы жыць,892,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Людзі без людзей быць не могуць,1016,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Прыяцеля (сябра) за грошы не купіш,1197,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Калі ты бяднейшы, то ты i дурнейшы",1500,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На бяду i з палкі выстраліш,1896,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Адным кірмаш, a другім жыцця нямаш",2122,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",У лазу пашоў,2589,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Літвін божы,2722,508
ПРАЦА,"Чым цяжэй, тым даражэй, 1961, Kan",1475,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",На добрай зямлі добра надзея,6,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Зімою абрыдзіць нос абціраючы, a ўлетку абрыдзіць вароты адчыняючы",293,72
СЕЛЬСКАЯ ГАСПАДАРКА,"Каб корч ды стаў сторч, то лягчэй бы выцягваць яго бы­ ло",835,115
ПРОМЫСЛЫ I РАМЕСТВЫ,"Які рамеснік — такая работа
a) Які майсцер — такая работа",1249,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Гаспадаркі весці — не барадой трэсці,5,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Свая стрэха — свая ўцеха,320,209
ХАРЧАВАННЕ,Голад не свой брат,434,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Урадзіў, не ўрадзіў, а шчэ  голы  не хадзіў",1033,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Худое кола мацней скрыпіць,1173,274
РАДЗІМА. ЧУЖЫНА,Кожнаму свой куток мілы,6,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Не каралеўскае (царскае) слова — можна адмяніць,107,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","У папа, кажуць, дзве рукі: адна, што ксціць, другая, што  бярэць, а тэй, што даець, — тэй няма",497,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Што ў тым цітуле, кагда нет у шкатуле
а) Чорт па тытуле, калі пусткі ў шкатуле",658,339
СУД. ЗАКОНЫ. ТУРМА,"Хто судзіцца, той нудзіцца",772,349
СЛУЖБА. НАЙМЫ,"Хто хоча гора зажыць, няхай ідзе да двара служыць",893,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Без людзей не быць,1017,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Хоць мае прападзець, учыню дружбу",1198,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Беднаму ўсюдых бедна,1501,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",За нечывелі i ў агонь кінешся,1897,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Дзе Андрэй ды Тамаш, там цэлы  кірмаш",2123,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Краснай (чырвонай) шапкі не мінуць,2590,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,На Жмуйдзі i куры людзі,2723,508
ПРАЦА,"Чалавек жыве век, а добрае дзела — два",1476,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Такая зямля добрая: пасадзі аглоблю — калёсы вырастуць,7,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Зімовы дзянёк, што камароў насок",294,72
СЕЛЬСКАЯ ГАСПАДАРКА,"Не араць, a цаліну драць",836,115
ПРОМЫСЛЫ I РАМЕСТВЫ,"Было рамясло, ды хмелем парасло",1250,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Гаспадарку вадзіць — не  зажмурыўшы  вочы  хадзіць,6,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Кожан у сваей хаце пан
а) Кожны пан у сваей хаце",321,209
ХАРЧАВАННЕ,"Голад i лжэць i крадзець
а) Голад i лгар i злодзей",435,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Як i на паноў рабілі, то голы не хадзілі",1034,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Не мой конь — не мой воз
а) Не наш конь — не наш i воз",1174,274
РАДЗІМА. ЧУЖЫНА,"Дзе маці нарадзіла, там i радзіма",7,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Хоць каралём, толькі б не ў нашым  царстве",108,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",У папа шырокія рукава,498,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Сядзіць на двох столках,659,339
СУД. ЗАКОНЫ. ТУРМА,"На суд не просяць, а суд завядзеш — не бросяць",773,349
СЛУЖБА. НАЙМЫ,"Чым лепі служу, тым горы дасаду бачу",894,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Свет вялік, a ў свеце людзі",1018,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Нядарам сябар кажа,1199,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Беднаму ўсюды цесна,1502,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда грошы знайдзе
а) Бяда найдзець грошы",1898,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Як пана нямаш, дык i кірмаш",2124,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Што ты мяне тыкаеш? Мяне цар пугавіцамі абтыкаў,2591,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Палешуку то й серп дзіва,2724,508
ПРАЦА,"Работай ад зары да зары — не будзеш жыць за долю, а  будзеш жыць за мазалі",1477,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","На добрай зямлі дзіця пасадзі, i тое вырасце",8,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Зімою сонца свеціць, ды не грэе",295,72
СЕЛЬСКАЯ ГАСПАДАРКА,"У каго чорна глыба, у таго й хлеба скіба",837,115
ПРОМЫСЛЫ I РАМЕСТВЫ,Па рабоце майстра знаць,1251,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Паглянем, што ў вас робіцца ў двары, — скажам, якія вы  гаспадары",1,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","На сваём сметніку i певень гаспадар
а) На сваём сметніку й певень смелы (смялейшы)",322,209
ХАРЧАВАННЕ,Голад крадзе i мусіць,436,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Голы скача, босы плача",1035,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Hi калёс, ні атос, воўк кабылку панёс",1175,274
РАДЗІМА. ЧУЖЫНА,Лепш нічога няма свайго роднага вугла,8,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Сволач — цару помач,109,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",3 паповых рукавоў вышла б пяцера штаноў,499,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Юрысты на рукі нячысты,660,339
СУД. ЗАКОНЫ. ТУРМА,Суды весці — не лапці плесці,774,349
СЛУЖБА. НАЙМЫ,Служба не свой брат,895,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Ідзе грамада, i я туда",1019,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"У няшчасці прыяцеля пазнаць
а) Прыяцеля пазнаеш у няшчасцю",1200,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Беднаму i вецер у вочы
а) Беднаму заўсёды вецер у вочы",1503,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Абы бяда — грошы будуць
а) Як бяда, то i грошы будуць",1899,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Як быў кірмаш, то не было над наш",2125,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Хто хоча гора зажыць, няхай ідзе ў маскалі служыць",2592,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Мудзер лях па шкодзе,2725,508
ПРАЦА,"Праца да рукі — моцныя парукі
а) Праца i рукі — моцныя зарукі",1478,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Якая зямля, такі i хлеб",9,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Зіма цёплая — сіроцкая,296,72
СЕЛЬСКАЯ ГАСПАДАРКА,"На чорным полі бела пшаніца родзіць
а) На чорнай зямлі пшаніца родзіць",838,115
ПРОМЫСЛЫ I РАМЕСТВЫ,Папала тайстра на свайго майстра,1252,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Вучыся  гаспадарыць,  яшчэ тавар пасучы",8,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",I курыца на сваём сметніку раскошна,323,209
ХАРЧАВАННЕ,Голад — найлепшы кухар,437,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Галодны мілю ўвойдзеш, а голы i за парог не выйдзеш
а) Галодны перабяжыць  усё поле, а голы ані за парог",1036,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Залатыя калёсцы, да цяжка везці",1176,274
РАДЗІМА. ЧУЖЫНА,"Мілы той куток (дамок), айдзе рэзан пупок",9,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Каго бог мілуе, таго й цар любуе",110,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Папова вока, а воўча горла
а) Воўча горла, а папова вока — то нароўні",500,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Каза лазу дзярэ, казу дзярэ пастух, пастуха дзярэ пан, а  пана дзярэ юрыст, а юрыста  чартоў трыста",661,339
СУД. ЗАКОНЫ. ТУРМА,Па судзе то другое будзе,775,349
